"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"DAVIDE CAMPARI- MILANO SPA";"Food and Beverage";"110000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"151";"2";"14";"54";"6";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"76765";"";"";"19900";"";"1636878";"";"13007137";"";"67945";"26";"";"No";"No";"No";"2279";"1367";"33";"31";"93";"43";"12";"66";"22";"";"";"";"";"131.pdf";"exe_sustainabilityreport2019_ita.pdf"
"DECO";"Utilities";"382109";"";"Abruzzo";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"130";"4";"26";"12";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Non Specificata";"";"";"Si";"Si";"No";"Matrice";"No";"No";"No";"No";"N.R.";"913";"";"";"4284";"";"42891";"";"";"";"210662";"48";"68";"No";"No";"No";"100";"9";"50";"0";"90";"45";"10";"56";"34";"50";"0";"50";"50";"";"https://www.decogroup.it/site/bilancio-sostenibilita-2019-flip/"
"DE LONGHI";"Electronics";"642000";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"38";"2";"5";"14";"0";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"SASB; Dow Jones Sustainability Indexes";"SASB_DJS";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"5439";"34240";"38465";"";"";"353782";"";"";"";"";"17";"";"No";"No";"No";"3969";"3881";"40";"23";"";"41";"17";"64";"19";"56";"0";"20";"80";"88.pdf";"Dichiarazione Non Finanziaria 2019.pdf"
"DIASORIN";"Healthcare and Pharma";"211000";"";"Piemonte";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"73";"3";"5";"31";"81";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Non Specificata";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"2902";"";"";"9253";"";"145816";"110136";"";"";"1801";"6";"";"No";"No";"No";"1062";"877";"33";"47";"90";"44";"11";"62";"27";"62";"0";"0";"100";"82.pdf";"diasorin_relazione_finanziaria_annuale_2019.pdf"
"DOLOMITI ENERGIA HOLDING SPA        ";"Energy";"351400";"";"Trentino-Alto Adige";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"105";"4";"22";"39";"4";"No";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"No";"Core";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"48852";"";"";"394";"";"1320257";"";"16911480";"8025970";"3044";"36";"";"No";"No";"No";"1076";"286";"33";"17";"";"47";"10";"48";"42";"55";"0";"25";"75";"87.pdf";"DICHIARAZIONE NON FINANZIARIA 2019 (1).pdf"
"DO VALUE (ex Do Bank)";"Financial Services";"829110";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"133";"4";"15";"43";"4";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"345239";"1431";"1094";"";"90";"22383";"";"";"";"9";"1";"29";"No";"No";"No";"1052";"1341";"22";"24";"97";"43";"8";"71";"21";"51";"0";"44";"56";"124.pdf";"DV_DNF_2019_ITA_140420_01.pdf"
"E.S.TR.A. SPA        ";"Energy";"701000";"";"Toscana";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"123";"8";"28";"49";"2";"No";"No";"No";"No";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"7730";"2371";"3192";"";"";"124664";"";"";"141";"894";"13";"86";"No";"No";"No";"475";"286";"40";"20";"91";"46";"7";"58";"35";"53";"0";"37";"63";"129.pdf";"Estra_DNF_2019.pdf"
"EDISON";"Energy";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"64";"5";"9";"23";"2";"No";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Referenced";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"7551963";"";"";"174415";"13841";"125884";"406630";"";"";"";"1372";"";"No";"No";"No";"4527";"1104";"33";"15";"93";"40";"20";"64";"16";"51";"0";"44";"56";"115.pdf";"dnf.pdf"
"EI TOWERS";"Telecommunications";"263000";"";"Lombardia";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"84";"10";"9";"17";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"2309";"28663";"38587";"";"";"321687";"";"";"";"239";"60";"57";"No";"No";"No";"419";"100";"10";"16";"";"54";"1";"30";"69";"54";"0";"20";"80";"125.pdf";"EI-Bilancio-di-Sostenibilita-2019_web-singole.pdf"
"EL.EN.";"Electronics";"266002";"";"Toscana";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"130";"1";"12";"20";"3";"No";"No";"Si";"No";"No";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Matrice";"Si";"Si";"No";"Si";"Survey";"1798";"1905";"2424";"";"";"40366";"38161";"";"";"";"2";"73";"No";"No";"No";"1138";"360";"33";"20";"";"39";"26";"61";"13";"60";"0";"0";"100";"91.pdf";"Dichiarazione-consolidata-di-carattere-non-finanziario-2019.pdf"
"ELICA";"Electronics";"279009";"";"Marche";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"170";"16";"20";"38";"13";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"";"";"";"";"";"84004";"31557";"";"";"1556";"";"";"No";"No";"No";"1991";"1246";"38";"12";"";"40";"25";"54";"21";"58";"0";"13";"87";"18.pdf";"2019_dnf_-_elica_ita_web_final.pdf"
"EMAK";"Machine and Plant";"282400";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"61";"2";"7";"14";"2";"Si";"No";"Si";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"5563";"8586";"9343";"";"";"172282";"127000";"";"";"";"7";"";"No";"No";"No";"1244";"744";"38";"16";"";"43";"13";"62";"25";"62";"0";"15";"85";"126.pdf";"emak_dichiarazione_non_finanziaria_2019_final.pdf"
"ENAV";"Logistics and Transport";"522300";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"176";"3";"18";"76";"7";"Si";"Si";"Si";"Si";"Si (2017-2018)";"Si";"No";"Si";"Si";"Si";"Si";"Core";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3870";"25627";"34500";"";"1260";"321002";"";"";"";"241638";"7";"";"No";"No";"No";"3221";"828";"33";"13";"";"47";"4";"57";"39";"53";"0";"33";"67";"128.pdf";"ENAV_Bilancio_di_Sostenibilit"
"ENEL";"Energy";"701000";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"332";"4";"82";"63";"14";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact; SASB; SDG Compass";"UN_GC_SASB_SDG";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"70";"2";"2";"";"57";"1258000";"77300000";"";"";"7901829";"0";"";"No";"No";"No";"53933";"14320";"33";"21";"107";"45";"11";"55";"34";"60";"0";"0";"100";"53.pdf";"bilancio-sostenibilita_2019.pdf"
"ENI";"Oil and Gas";"352300";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"39";"3";"5";"7";"5";"Si";"Si";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"No";"Si";"Si";"Core";"UN Global Compact; Principles for Responsible Investment";"UN_GC_PRI";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"41200000";"";"";"690000";"";"240840";"";"1597000000";"";"2425085";"31";"";"No";"No";"No";"23731";"7590";"33";"26";"";"45";"2";"74";"24";"58";"0";"11";"89";"184.pdf";"Relazione-finanziaria-annuale-2019.pdf"
"ERG";"Energy";"701000";"";"Liguria";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"207";"13";"35";"59";"20";"Si";"Si";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact; ILO";"UN_IIRC_ILO";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"1156300";"";"";"1400";"31000";"102722400";"";"230000000";"";"4790";"1535";"";"No";"No";"No";"597";"157";"33";"24";"97";"44";"7";"70";"23";"56";"0";"8";"92";"109.pdf";"DNF Ed 2019 ITA_x Sito.pdf"
"ESPRINET";"Retailers";"465100";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"83";"12";"14";"34";"2";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"1229";"2393";"148";"";"4899";"43471";"";"";"";"1162";"3";"";"No";"No";"No";"596";"721";"42";"23";"";"41";"15";"70";"15";"55";"0";"33";"67";"206.pdf";"[30.04.2020]Esprinet Bilancio di sostenibilita - DNF 2019.pdf"
"ESSELUNGA";"Food and Beverage";"471120";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"41";"3";"7";"20";"0";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"48787";"";"";"211759";"";"3301492";"7459987";"";"";"115755";"11";"";"No";"No";"No";"13695";"10637";"20";"10";"";"40";"19";"65";"16";"";"";"";"";"154.pdf";"ITA_Esselunga_Consolidato FY_2019.pdf"
"EUKEDOS";"Healthcare and Pharma";"702209";"";"Toscana";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"35";"4";"3";"18";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey";"";"";"";"";"";"54764";"";"";"";"12";"";"";"No";"No";"No";"117";"608";"38";"67";"";"47";"5";"54";"41";"55";"0";"25";"75";"130.pdf";"eukedos_relazione_finanziaria_annuale_2019.pdf"
"F.I.L.A.";"Manufacturing";"329930";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"110";"8";"20";"34";"6";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"28008";"";"";"45072";"";"545483";"1915159";"";"";"13453";"7";"";"No";"No";"No";"5338";"4729";"33";"";"";"35";"50";"39";"11";"57";"0";"0";"100";"92.pdf";"Dichiarazione-Consolidata-di-carattere-non-finanziario-20191.pdf"
"FCA";"Banks";"641910";"";"Piemonte";"SI";"Servizi-Finanziari";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"158";"1";"21";"50";"4";"Si";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Comprehensive";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1058367";"2296709";"2359103";"";"";"41827609";"";"18816";"554";"806";"17497";"11";"No";"No";"No";"1132";"1148";"20";"17";"";"44";"10";"63";"27";"";"";"";"";"132.pdf";"FCA_2019_Sustainability_Report.pdf"
"FERALPI HOLDING SPA";"Steel";"701000";"";"Lombardia";"SI";"DNF-Volontaria";"DNF";"Report-separato";"145";"8";"32";"25";"3";"Si";"No";"No";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"204275";"582983";"836849";"";"41744";"8476498";"";"";"";"547638";"515";"";"No";"No";"No";"1458";"112";"25";"";"86";"46";"12";"48";"40";"55";"0";"25";"75";"133.pdf";"Feralpi_Dichiarazione-Consolidata-Volontaria-di-Carattere-Non-Finanziario-2019_.pdf"
"FERROVIE DELLO STATO ITALIANE";"Logistics and Transport";"701000";"";"Lazio";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"211";"13";"16";"50";"5";"Si";"No";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"621596";"1934278";"";"";"";"29972933";"20000000";"";"";"431004";"31";"";"No";"No";"No";"69109";"14655";"43";"20";"";"36";"38";"52";"10";"";"";"";"";"134.pdf";"FSI_Rapporto di Sostenibilit"
"FIERA MILANO";"Services";"823000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"115";"7";"14";"43";"4";"No";"No";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey";"1052";"";"";"19869";"";"232756";"2308446";"";"";"11517160";"32";"60";"No";"No";"No";"281";"365";"44";"15";"";"46";"9";"53";"38";"58";"0";"11";"89";"105.pdf";"DNF 2019 Fiera Milano.pdf"
"FINCANTIERI";"Steel";"301100";"";"Friuli-Venezia Giulia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"205";"9";"30";"75";"9";"Si";"Si";"Si";"No";"No";"Si";"No";"Si";"No";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey";"96610";"";"";"72925";"665098";"2580329";"";"3092190";"";"212269";"9";"78";"No";"No";"No";"19823";"2609";"50";"11";"85";"44";"15";"56";"29";"56";"0";"20";"80";"51.pdf";"bilancio-sostenibilita-2019.pdf"
"FINECO BANK SPA";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"138";"5";"8";"48";"8";"Si";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"430";"3030";"997";"";"";"41813";"";"";"";"";"3";"13";"No";"No";"No";"706";"519";"38";"27";"100";"39";"17";"71";"12";"55";"0";"25";"75";"187.pdf";"Report_DNF_FinecoBank_2019_IT.pdf"
"FNM";"Logistics and Transport";"490000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"248";"14";"45";"44";"4";"Si";"Si";"Si";"Si";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"Si";"Core";"UN Global Compact; IR Framework";"UN_GC_IR";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"37785";"";"";"7532";"";"692329";"270133";"";"";"4358";"20";"";"No";"No";"No";"1972";"305";"40";"28";"";"47";"5";"57";"38";"57";"0";"0";"100";"195.pdf";"Sostenibilita2019.pdf"
"GAROFALO HEALTHCARE SPA";"Healthcare and Pharma";"642000";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"59";"5";"5";"10";"4";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Referenced";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"3401";"4834";"6503";"";"";"110738";"";"";"";"645";"6";"33";"No";"No";"No";"300";"1050";"55";"41";"";"45";"9";"57";"34";"50";"9";"36";"55";"172.pdf";"PzvjEBsmxfyHHg9l2OdG.pdf"
"GEDI";"Media and Publishing";"581400";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"86";"2";"10";"12";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"2151";"18198";"24112";"";"";"220687";"";"";"";"12410";"9";"";"No";"No";"No";"1388";"833";"21";"33";"87";"52";"1";"39";"60";"";"";"";"";"50.pdf";"bilancio-sociale-2019.pdf"
"GEFRAN";"Electronics";"279009";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"84";"9";"13";"30";"8";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1328";"";"";"2677";"";"48077";"19970";"";"";"485";"5";"";"No";"No";"No";"578";"251";"33";"13";"83";"43";"12";"62";"26";"51";"0";"44";"56";"136.pdf";"Gefran_Report_Annuale_2019_finale.pdf"
"GEOX";"Manufacturing";"152010";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"208";"6";"20";"71";"8";"Si";"Si";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"No";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1429";"8804";"2790";"";"796";"121886";"34700000";"";"";"2068";"2";"";"No";"No";"No";"1226";"3546";"40";"30";"";"37";"27";"61";"12";"52";"0";"40";"60";"61.pdf";"bilancio_sociale_geox_2019_ita_completo.pdf"
"GPI SPA";"Services";"620100";"";"Trentino-Alto Adige";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"51";"2";"5";"17";"4";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"1899";"";"";"639";"";"34241";"8671";"";"";"";"0";"";"No";"No";"No";"1903";"3442";"14";"16";"101";"42";"14";"66";"20";"52";"";"";"";"137.pdf";"Gpi-Group-DNFC-2019.pdf"
"GRUPPO MUTUIONLINE";"Financial Services";"701000";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"34";"2";"3";"7";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"310";"994";"1325";"";"";"15226";"";"";"";"";"1";"";"No";"No";"No";"657";"1349";"33";"";"";"";"";"";"";"";"";"";"";"110.pdf";"DNF GMoL 2019_con opinion.pdf"
"GUALA CLOSURES SPA";"Manufacturing";"259200";"";"Piemonte";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"106";"2";"31";"16";"4";"Si";"No";"Si";"Si";"Si (2016-2018)";"Si";"Si";"Si";"Si";"No";"";"Non Specificata";"IIRC; SASB";"IIRC_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"37120";"";"";"130519";"456261";"";"";"";"";"";"35";"";"No";"No";"No";"3621";"1143";"22";"18";"";"42";"19";"56";"25";"";"";"";"";"15.pdf";"2019-Sustainability-Report.pdf"
"HELVETIA ITALIA";"Financial Services";"	651200";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"100";"2";"7";"25";"2";"Si";"Si";"Si";"No";"No";"Si";"No";"Si";"Si";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1120";"";"";"28";"";"15266";"";"";"";"190";"2";"";"No";"No";"No";"295";"231";"";"25";"";"47";"8";"52";"40";"";"";"";"";"144.pdf";"helvetiaGroup_DNF_2019_ITA.pdf"
"HERA";"Utilities";"	360000";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"370";"41";"116";"103";"2";"Si";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1519350";"";"94183";"";"1484";"18511";"";"418155";"";"2936996";"176";"33";"No";"No";"No";"6730";"2441";"33";"36";"95";"48";"5";"48";"47";"";"";"";"";"58.pdf";"Bilancio_di_sostenibilit_2019_DNF.1586878344.pdf"
"I.M.A. INDUSTRIA MACCHINE AUTOMATICHE";"Machine and Plant";"282930";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"77";"2";"8";"27";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"13154";"14153";"15652";"";"";"286496";"";"";"";"6387";"4";"64";"No";"No";"No";"5109";"1050";"36";"12";"";"44";"14";"56";"30";"57";"0";"14";"86";"146.pdf";"IMA_DNF-2019_impaginato_rev270320_DEF.pdf"
"IBL BANCA";"Banks";"641910";"";"Lazio";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"43";"1";"2";"14";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"75";"";"738";"";"";"9292";"";"";"";"";"1";"";"No";"No";"No";"305";"425";"0";"34";"97";"40";"14";"75";"11";"57";"0";"17";"83";"145.pdf";"IBL Banca_Dichiarazione Non Finanziaria 2019.pdf"
"ICCREA BANCA SPA        ";"Banks";"641910";"";"Lazio";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"195";"7";"19";"71";"11";"Si";"No";"Si";"Si";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"13275";"153";"799";"";"";"697804";"";"";"";"";"1";"";"No";"No";"No";"12963";"9201";"16";"27";"93";"47";"4";"60";"36";"56";"0";"22";"78";"79.pdf";"DCNF GBCI light.pdf"
"IL SOLE 24 ORE SPA";"Media and Publishing";"581300";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"47";"2";"7";"24";"2";"No";"No";"No";"Si";"Si (2017-2018)";"No";"Si";"No";"Si";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"1146";"";"";"2080";"";"60431";"35753";"";"";"902";"4";"";"No";"No";"No";"509";"396";"36";"33";"83";"49";"1";"51";"48";"53";"0";"36";"64";"184.pdf";"Relazione-finanziaria-annuale-2019.pdf"
"IMMSI SPA";"Automotive";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"70";"3";"7";"23";"2";"No";"No";"No";"No";"Si (2017-2018)";"Si";"No";"Si";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"15787";"";"";"49042";"";"";"1262808";"";"";"15996";"10";"";"No";"No";"No";"5186";"1366";"27";"11";"91";"42";"19";"57";"24";"";"";"";"";"12.pdf";"200423-dnf_immsi__2019_per_deposito.pdf"
"IMPRESA PIZZAROTTI & C.";"Construction and Engineering";"412000";"";"Emilia Romagna";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"67";"5";"11";"27";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"20305";"";"";"21062";"";"285786";"1363411";"";"";"73499";"18";"";"No";"No";"No";"2037";"302";"0";"1";"72";"45";"11";"54";"35";"50";"0";"50";"50";"147.pdf";"Impresa Pizzarotti-bilancio_sostenibilita_2019.pdf"
"INDEL B SPA";"Electronics";"275100";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"70";"4";"15";"30";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"609";"";"";"703";"";"19483";"15983";"";"";"880";"1";"";"No";"No";"No";"398";"174";"30";"7";"91";"42";"20";"53";"27";"58";"0";"10";"90";"181.pdf";"Relazione finanziaria_2019.pdf"
