"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"ASTM";"Construction and Engineering";"421100";"";"Piemonte";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"151";"9";"22";"32";"3";"Si";"No";"Si";"No";"No";"No";"No";"No";"No";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"43176";"41849";"50329";"";"";"1012144";"473603";"";"";"689320";"14";"59";"No";"No";"No";"5127";"1000";"40";"11";"91";"39";"26";"59";"15";"55";"0";"27";"73";"34.pdf";"ASTM-Bilancio_sostenibilita_2019-1.pdf"
"ATLANTIA";"Utilities";"701000";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-Integrato";"Report-separato";"142";"16";"18";"32";"17";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Core";"IR Framework; UN Global Compact; SASB";"IR_UN_CG_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"192427";"163562";"165491";"";"1915162";"5218000";"";"6436539";"";"1778758";"11";"";"No";"No";"No";"20092";"9847";"43";"15";"";"43";"11";"68";"21";"57";"0";"14";"86";"59.pdf";"Bilancio_Integrato_2019.pdf"
"AUTOGRILL";"Food and Beverage";"561011";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"47";"1";"7";"21";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Lista";"Si";"No";"Si";"Si";"Survey";"16330";"";"";"106055";"";"1356205";"";"";"";"39475";"2";"53";"No";"No";"No";"24828";"37233";"";"22";"";"42";"17";"58";"25";"";"";"";"";"36.pdf";"autogrill_dnf_2019_it.pdf"
"AVIO";"Aerospace";"829999";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"78";"4";"13";"18";"4";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"";"23400";"26706";"";"";"394180";"687742";"";"";"1138";"25";"";"No";"No";"No";"804";"133";"33";"11";"90";"43";"9";"68";"23";"56";"0";"22";"78";"23.pdf";"2020_Dichiarazione-Non-Finanziaria-2019_20200331_122640.pdf"
"ATM";"Logistics and Transport";"493100";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"Report-Integrato";"Report-separato";"109";"10";"10";"34";"6";"No";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"IR Framework";"IR";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"87010";"116616";"15468";"";"";"4140000";"";"2243696";"";"11280";"268";"32";"No";"No";"No";"9363";"912";"40";"25";"";"46";"7";"57";"36";"52";"0";"40";"60";"35.pdf";"ATM_bilancio_dnf.pdf"
"AZIMUT HOLDING";"Financial Services";"663000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"54";"3";"2";"18";"5";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"";"1027";"";"";"";"8104";"";"";"";"";"1";"";"No";"No";"No";"552";"458";"33";"13";"";"42";"17";"62";"21";"52";"0";"42";"58";"37.pdf";"Azimut Bilancio Consolidato Dicembre 2019.pdf"
"BANCA AGRICOLA POPOLARE DI RAGUSA";"Banks";"641910";"";"Sicilia";"SI";"Servizi-Finanziari";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"41";"8";"2";"18";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"N.R.";"";"";"";"";"";"39889";"";"";"";"43";"";"27";"No";"No";"No";"523";"313";"18";"29";"94";"50";"0";"50";"50";"60";"0";"0";"100";"39.pdf";"BAPR_BILANCIO_2019.pdf"
"BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA";"Banks";"641910";"";"Liguria";"NO";"DNF-Volontaria";"DNF";"Report-separato";"120";"11";"10";"63";"6";"Si";"Si";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3140";"";"";"";"";"157721";"";"";"";"";"1";"";"No";"No";"No";"1847";"1867";"40";"34";"90";"50";"3";"47";"50";"60";"0";"0";"100";"69.pdf";"Carige+DNF+2019-2020+13+mesi_DEFINITIVO.pdf"
"BANCA DI CIVIDALE SCPA - CIVIBANK	";"Banks";"641910";"";"Friuli-Venezia Giulia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"140";"6";"20";"47";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"454";"";"";"445";"";"22925";"";"";"";"";"1";"26";"No";"No";"No";"359";"250";"22";"24";"90";"46";"4";"62";"34";"60";"0";"0";"100";"7.pdf";"1590998985_DNF 2019_definitiva.pdf"
"BANCA DI CREDITO POPOLARE";"Banks";"641910";"";"Campania";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"104";"6";"5";"32";"5";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Referenced";"IR Framework";"IR";"Si";"No";"No";"Entrambi";"No";"No";"No";"No";"N.R.";"96";"744";"";"";"";"11443";"";"";"";"41";"2";"30";"No";"No";"No";"341";"193";"22";"26";"91";"50";"1";"48";"51";"53";"0";"33";"67";"102.pdf";"DICHIARAZIONE_NON_FINANZIARIA_2019.pdf"
"BANCA DI PIACENZA";"Banks";"641910";"";"Emilia Romagna";"SI";"Servizi-Finanziari";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"29";"11";"5";"10";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"686";"831";"";"";"";"20942";"";"";"";"";"3";"";"No";"No";"No";"265";"241";"18";"29";"";"47";"5";"58";"37";"58";"0";"9";"91";"5.pdf";"11009716BILANCIO_2019.pdf"
"BANCA FARMAFACTORING SPA";"Banks";"641910";"";"Lombardia";"SI";"DNF-Volontaria";"DNF";"Report-separato";"91";"6";"5";"31";"4";"No";"No";"Si";"No";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"79";"";"";"340";"";"3246";"";"";"5925";"";"1";"15";"No";"No";"No";"221";"240";"44";"16";"";"40";"18";"70";"12";"53";"0";"33";"67";"41.pdf";"BFF - DNF_2019 - ITA.pdf"
"BANCA GENERALI SPA";"Banks";"641910";"";"Friuli-Venezia Giulia";"SI";"DNF-Volontaria";"Report-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"83";"3";"7";"34";"4";"Si";"Si";"Si";"No";"No";"Si";"No";"Si";"No";"Si";"Si";"Core";"IR Framework";"IR";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"276";"";"";"935";"192";"13468";"8412";"";"";"28";"1";"9";"No";"No";"No";"483";"467";"44";"34";"89";"44";"5";"70";"25";"51";"0";"44";"56";"182.pdf";"Relazione+Annuale+Integrata+2019.pdf"
"BANCA IFIS";"Banks";"641910";"";"Veneto";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"100";"3";"4";"29";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey";"1977";"1204";"1166";"";"";"13882";"";"";"";"";"2";"";"No";"No";"No";"807";"946";"33";"23";"95";"41";"12";"72";"16";"52";"0";"42";"58";"97.pdf";"Dichiarazione-Non-Finanziaria-Consolitata_2019_ITA.pdf"
"BANCA MEDIOLANUM";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"173";"10";"10";"45";"16";"No";"No";"Si";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey";"4030";"2682";"3638";"";"";"93728";"";"";"";"";"2";"14";"No";"No";"No";"1459";"1471";"31";"32";"99";"42";"9";"76";"15";"61";"0";"23";"77";"81.pdf";"DEF_DNF_2019.pdf"
