freq,wstatus,age,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EMP_PT,Y20-64,PC_PNT,FR	-25.2 	-24.9 	-24.6 	-24.8 	-25.0 	-24.6 	-23.9 	-23.5 	-23.2 	-22.4 	-21.6 	-20.5 	-19.9 d	-18.4 d	-18.1 d	-18.3 d
A,EMP_PT,Y20-64,PC_PNT,HR	-3.8 	-4.3 	-3.6 	-2.2 b	-1.7 	-2.8 	-2.6 	-2.7 	-2.1 	-3.1 	-3.6 	-3.1 	-2.5 	-2.5 	-1.5 	-1.6 
A,EMP_PT,Y20-64,PC_PNT,HU	-2.9 	-3.5 	-3.6 	-4.4 	-4.1 	-3.7 	-3.2 	-3.2 	-3.2 	-3.4 b	-3.9 	-3.9 	-4.1 	-3.3 	-3.5 	-3.5 
A,EMP_PT,Y20-64,PC_PNT,IE	-22.6 	-22.5 	-22.0 	-20.8 	-20.9 	-20.0 	-20.4 	-19.7 	-19.7 	-19.4 	-20.4 	-18.5 	-18.4 b	-19.1 	-19.1 	-17.0 
A,EMP_PT,Y20-64,PC_PNT,IS	-23.7 	-23.2 	-21.4 	-19.4 	-20.1 	-23.8 	-23.5 	-24.3 	-23.9 	-22.4 	-23.5 	-22.2 b	-23.3 	-21.9 	-20.5 	-19.8 
A,EMP_PT,Y20-64,PC_PNT,IT	-22.7 	-23.3 	-23.2 	-23.6 	-23.7 	-23.7 	-23.7 	-23.9 	-23.6 	-23.8 b	-24.1 	-23.3 	-23.1 	-24.0 	-24.0 	-23.0 
A,EMP_PT,Y20-64,PC_PNT,LT	-2.5 	-2.5 	-3.2 	-3.7 	-3.9 	-4.3 	-4.3 	-3.4 	-3.7 	-3.6 	-3.2 	-2.7 	-3.3 	-3.4 	-3.6 	-3.1 
A,EMP_PT,Y20-64,PC_PNT,LU	-30.5 	-32.5 	-31.6 	-31.4 	-31.0 	-30.9 	-28.1 b	-28.7 	-29.4 	-26.1 	-24.8 	-24.1 	-23.8 	-24.0 	-21.8 	-21.3 
A,EMP_PT,Y20-64,PC_PNT,LV	-2.1 	-2.6 	-2.5 	-3.5 	-3.1 	-3.4 	-4.5 	-3.8 	-4.6 	-4.1 	-4.5 	-3.8 	-4.5 	-4.7 	-4.3 	-4.0 
A,EMP_PT,Y20-64,PC_PNT,ME	: 	: 	-0.3 	-0.6 	1.3 	0.7 	-0.9 	0.7 	0.2 	1.1 	0.2 	0.9 	: 	: 	: 	: 
A,EMP_PT,Y20-64,PC_PNT,MK	-2.4 	-2.4 	-1.3 	-1.3 	-0.6 	1.3 	-0.2 	-0.9 	-0.5 	-0.1 	-0.3 	-0.9 	: 	: 	: 	: 
A,EMP_PT,Y20-64,PC_PNT,MT	-18.7 	-19.1 	-20.1 	-19.7 	-19.6 	-21.1 	-20.0 	-19.7 	-18.0 	-15.5 	-15.1 	-15.5 	-12.6 	-13.8 	-12.2 	-12.8 
A,EMP_PT,Y20-64,PC_PNT,NL	-48.7 	-49.3 	-49.7 	-49.7 	-48.4 	-47.8 	-47.8 	-47.7 	-46.6 	-46.1 	-45.6 	-45.0 	-44.1 	-42.3 	-41.8 	-41.9 
A,EMP_PT,Y20-64,PC_PNT,NO	-27.3 	-27.2 	-27.3 	-25.7 	-25.6 	-23.7 	-22.4 	-22.0 	-20.5 	-21.6 	-21.4 	-19.9 	-19.6 	-18.5 	-17.2 	-15.7 
A,EMP_PT,Y20-64,PC_PNT,PL	-6.0 	-6.0 b	-5.9 	-6.2 	-6.0 	-6.1 	-5.9 	-6.0 	-6.3 	-5.9 	-5.7 b	-5.6 	-4.4 	-4.5 	-5.1 	-5.0 
A,EMP_PT,Y20-64,PC_PNT,PT	-6.3 	-6.2 	-6.4 	-5.9 	-5.9 	-5.5 	-5.8 	-5.7 	-5.8 	-5.0 	-5.7 	-5.3 	-4.5 	-4.5 	-5.4 	-4.9 
A,EMP_PT,Y20-64,PC_PNT,RO	0.5 	1.2 	0.5 	0.8 	0.8 	0.6 	1.0 	0.8 	1.0 	0.7 	0.8 	0.8 	1.1 	0.9 	0.7 	0.7 
A,EMP_PT,Y20-64,PC_PNT,RS	: 	: 	-1.1 	-1.0 	-1.2 	-1.1 	-1.0 	-1.5 	-1.6 	-1.3 	-1.3 	-1.7 	-1.5 	-1.6 	-1.3 	-1.3 
