id_observation,nome,cod_misura,cod_anno,cod_aggr,valore
349,FR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-24.6
350,HR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-3.6
351,HU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-3.6
352,IE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.0
353,IS_EMP_PT_Y20-64_A_PC_PNT,2,,1,-21.4
354,IT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.2
355,LT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-3.2
356,LU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-31.6
357,LV_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.5
358,ME_EMP_PT_Y20-64_A_PC_PNT,2,,1,-0.3
359,MK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-1.3
360,MT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-20.1
361,NL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-49.7
362,NO_EMP_PT_Y20-64_A_PC_PNT,2,,1,-27.3
363,PL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-5.9
364,PT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.4
365,RO_EMP_PT_Y20-64_A_PC_PNT,2,,1,0.5
366,RS_EMP_PT_Y20-64_A_PC_PNT,2,,1,-1.1
367,SE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-26.9
368,SI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-5.5
369,SK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.2
370,TR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-18.1
371,AT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-0.6
372,BA_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
373,BE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.0
374,BG_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.2
375,CH_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.5
376,CY_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-13.1
377,CZ_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.0
378,DE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.2
379,DK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.1
380,EA20_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.5
381,EE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.7
382,EL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.9
383,ES_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.1
