Aziende_nel_Database,N_uomini_dipendenti,N_donne_dipendenti,Donne_nel_CdA_(%),Donne_in_posizioni_manageriali_di_vertice_(%),Disuguaglianza_salariale_di_genere_(%),Eta_media_dipendenti_(%),Dipendenti_con_eta_30_per,Dipendenti_con_eta_30_50_per,Dipendenti_con_eta_50_per,Eta_media_in_CdA_(%),Membri_del_CdA_con_eta_30_per,Membri_del_CdA_con_eta_30_50_per,Membri_del_CdA_con_eta_50_per
IMPRESA PIZZAROTTI & C.,2037.0,302.0,0.0,1.0,72.0,45.0,11.0,54.0,35.0,50.0,0.0,50.0,50.0
INDEL B SPA,398.0,174.0,30.0,7.0,91.0,42.0,20.0,53.0,27.0,58.0,0.0,10.0,90.0
INFRASTRUTTURE WIRELESS ITALIANE SPA,74.0,48.0,45.0,30.0,,51.0,3.0,41.0,56.0,58.0,0.0,10.0,90.0
INTERCOS GROUP,1356.0,2373.0,27.0,,96.0,,,,,,,,
INTERPUMP GROUP,5671.0,1185.0,5.0,11.0,,45.0,11.0,55.0,34.0,53.0,0.0,35.0,65.0
INTESA SANPAOLO,40860.0,47822.0,37.0,39.0,90.0,46.0,7.0,54.0,39.0,57.0,0.0,16.0,84.0
IRCE,552.0,73.0,13.0,8.0,,,,,,,,,
IREN,6162.0,1940.0,23.0,23.0,,49.0,,,,53.0,0.0,33.0,67.0
ISAGRO,239.0,104.0,36.0,34.0,,47.0,7.0,53.0,40.0,53.0,0.0,36.0,64.0
ITALGAS,3517.0,579.0,33.0,45.0,90.0,51.0,9.0,22.0,69.0,,,,
ITALIAN EXHIBITION GROUP SPA,216.0,331.0,19.0,22.0,,38.0,26.0,63.0,11.0,47.0,4.0,59.0,37.0
ITALMOBILIARE,1249.0,470.0,36.0,,,,,,,53.0,0.0,36.0,64.0
ITAS MUTUA,418.0,320.0,14.0,22.0,,45.0,8.0,63.0,29.0,57.0,0.0,14.0,86.0
KEDRION,1219.0,1396.0,9.0,26.0,,,,,,,,,
LA CASSA DI RAVENNA SPA,491.0,508.0,8.0,27.0,,48.0,1.0,59.0,40.0,71.0,0.0,8.0,92.0
LA DORIA,672.0,174.0,33.0,16.0,94.0,43.0,15.0,61.0,24.0,53.0,0.0,33.0,67.0
LANDI RENZO,387.0,184.0,33.0,13.0,,42.0,29.0,50.0,21.0,60.0,0.0,22.0,78.0
LEONARDO,40516.0,9014.0,33.0,15.0,97.0,46.0,10.0,52.0,38.0,61.0,,,
LU-VE GROUP,1827.0,785.0,33.0,18.0,95.0,41.0,20.0,59.0,21.0,58.0,0.0,8.0,92.0
MAIRE TECNIMONT,5078.0,1269.0,44.0,12.0,93.0,42.0,12.0,68.0,20.0,56.0,0.0,20.0,80.0
MARR SPA,576.0,247.0,33.0,13.0,93.0,47.0,7.0,52.0,41.0,58.0,0.0,11.0,89.0
MASSIMO ZANETTI BEVERAGE GROUP,2024.0,1196.0,44.0,36.0,,,,,,49.0,0.0,56.0,44.0
MEDIASET,2582.0,2402.0,33.0,44.0,,49.0,5.0,48.0,47.0,59.0,0.0,6.0,94.0
MEDIOBANCA,2862.0,2058.0,33.0,29.0,100.0,42.0,9.0,73.0,18.0,56.0,0.0,20.0,80.0
MITTEL SPA,355.0,576.0,43.0,23.0,,44.0,14.0,55.0,31.0,49.0,0.0,57.0,43.0
MM,852.0,419.0,33.0,25.0,,46.0,5.0,59.0,36.0,60.0,0.0,0.0,100.0
MONCLER,1314.0,3255.0,36.0,45.0,94.0,38.0,31.0,58.0,11.0,56.0,0.0,18.0,82.0
MONRIF,543.0,396.0,33.0,38.0,78.0,50.0,3.0,47.0,50.0,51.0,0.0,44.0,56.0
NEWLAT FOOD SPA,833.0,263.0,38.0,42.0,78.0,47.0,7.0,53.0,40.0,47.0,14.0,43.0,43.0
NEXI,1061.0,916.0,31.0,15.0,92.0,46.0,3.0,71.0,26.0,49.0,0.0,54.0,46.0
NOVAMONT SPA,353.0,105.0,11.0,23.0,,43.0,10.0,68.0,22.0,56.0,0.0,22.0,78.0
OPENJOBMETIS,120.0,515.0,22.0,21.0,,40.0,11.0,80.0,9.0,53.0,0.0,33.0,67.0
ORSERO SPA,1074.0,471.0,33.0,21.0,,43.0,17.0,56.0,27.0,51.0,0.0,44.0,56.0
OVS,1380.0,5072.0,33.0,39.0,100.0,42.0,11.0,64.0,25.0,58.0,0.0,11.0,89.0
PANARIAGROUP,1395.0,592.0,40.0,34.0,,46.0,9.0,56.0,35.0,58.0,0.0,10.0,90.0
PIAGGIO,4924.0,1298.0,33.0,23.0,94.0,42.0,19.0,57.0,24.0,,,,
PININFARINA,538.0,134.0,33.0,17.0,67.0,43.0,17.0,53.0,30.0,55.0,0.0,22.0,78.0
PIOVAN SPA,935.0,166.0,29.0,12.0,,43.0,13.0,61.0,26.0,54.0,0.0,29.0,71.0
PIQUADRO,321.0,847.0,43.0,3.0,,40.0,23.0,61.0,16.0,54.0,0.0,29.0,71.0
PIRELLI,27051.0,4524.0,27.0,17.0,99.0,38.0,24.0,63.0,13.0,56.0,0.0,33.0,67.0
POSTE ITALIANE,58390.0,68055.0,44.0,46.0,,49.0,6.0,45.0,49.0,56.0,0.0,22.0,78.0
PRIMA INDUSTRIE,1356.0,233.0,36.0,,78.0,43.0,14.0,60.0,26.0,57.0,0.0,14.0,86.0
PRYSMIAN,23677.0,4749.0,42.0,12.0,,44.0,16.0,54.0,30.0,52.0,0.0,42.0,58.0
RAI,7303.0,5598.0,29.0,36.0,93.0,50.0,4.0,42.0,54.0,54.0,0.0,29.0,71.0
RAI WAY,504.0,111.0,44.0,17.0,98.0,47.0,8.0,48.0,44.0,56.0,0.0,22.0,78.0
RATTI,284.0,565.0,33.0,33.0,,42.0,29.0,37.0,34.0,56.0,0.0,22.0,78.0
RCS MEDIAGROUP,1817.0,1436.0,33.0,39.0,87.0,48.0,3.0,57.0,40.0,56.0,0.0,25.0,75.0
REALE GROUP,1968.0,1750.0,0.0,31.0,,46.0,6.0,59.0,35.0,,,,
RECORDATI,2456.0,2015.0,,28.0,95.0,44.0,11.0,63.0,26.0,,,,
RENO DE MEDICI - RDM,1603.0,163.0,43.0,24.0,,47.0,8.0,51.0,41.0,54.0,0.0,29.0,71.0
REPLY,5878.0,2279.0,33.0,19.0,,36.0,33.0,60.0,7.0,53.0,0.0,33.0,67.0
SABAF,657.0,378.0,33.0,0.0,,41.0,15.0,69.0,16.0,61.0,0.0,0.0,100.0
SAES GROUP,694.0,293.0,33.0,14.0,,46.0,12.0,48.0,40.0,61.0,0.0,11.0,89.0
SAFILO GROUP,2203.0,3551.0,,42.0,,43.0,11.0,67.0,22.0,,,,
SAIPEM,28854.0,3674.0,44.0,19.0,86.0,41.0,13.0,72.0,15.0,60.0,0.0,0.0,100.0
SALINI IMPREGILO,22073.0,2453.0,33.0,9.0,85.0,39.0,26.0,59.0,15.0,,,,
SALVATORE FERRAGAMO,1419.0,2858.0,38.0,11.0,,39.0,23.0,66.0,11.0,54.0,0.0,30.0,70.0
SARA ASSICURAZIONI,364.0,248.0,33.0,5.0,92.0,49.0,2.0,51.0,47.0,58.0,0.0,11.0,89.0
SARAS,1506.0,239.0,19.0,21.0,,45.0,5.0,67.0,28.0,57.0,0.0,25.0,75.0
SEA,2050.0,803.0,43.0,32.0,96.0,50.0,0.0,48.0,52.0,49.0,0.0,57.0,43.0
SERI INDUSTRIAL SPA,543.0,128.0,29.0,0.0,,46.0,5.0,60.0,35.0,51.0,0.0,43.0,57.0
SERVIZITALIA,1500.0,2125.0,36.0,19.0,,44.0,14.0,57.0,29.0,51.0,0.0,45.0,55.0
SESA,1258.0,642.0,38.0,14.0,,43.0,15.0,60.0,25.0,57.0,,,
SIT GROUP SPA,842.0,1358.0,22.0,12.0,,43.0,16.0,58.0,26.0,58.0,0.0,11.0,89.0
SMAT,724.0,231.0,40.0,27.0,,51.0,5.0,37.0,58.0,,,,
SNAITECH,469.0,451.0,43.0,32.0,82.0,,,,,49.0,0.0,43.0,57.0
SNAM,2584.0,441.0,33.0,16.0,,46.0,17.0,38.0,45.0,56.0,0.0,22.0,78.0
SOCIET,1057.0,728.0,35.0,9.0,,47.0,5.0,57.0,38.0,60.0,0.0,0.0,100.0
SOGEFI,5045.0,1773.0,38.0,11.0,88.0,43.0,17.0,57.0,26.0,55.0,0.0,25.0,75.0
SOL,2585.0,1735.0,55.0,53.0,,43.0,12.0,64.0,24.0,58.0,0.0,9.0,91.0
TEA,419.0,153.0,29.0,30.0,,46.0,7.0,56.0,37.0,60.0,0.0,0.0,100.0
TECHEDGE SPA,1417.0,580.0,27.0,21.0,,37.0,28.0,65.0,7.0,55.0,0.0,27.0,73.0
TECHNOGYM,1515.0,607.0,36.0,16.0,,41.0,15.0,69.0,16.0,51.0,9.0,27.0,64.0
TERNA,3334.0,538.0,44.0,20.0,98.0,41.0,25.0,45.0,30.0,56.0,0.0,22.0,78.0
TESMEC,792.0,133.0,50.0,11.0,,41.0,19.0,60.0,21.0,47.0,0.0,63.0,37.0
TIM,34772.0,20421.0,40.0,28.0,85.0,49.0,6.0,46.0,48.0,57.0,0.0,13.0,87.0
TINEXTA (ex TECNOINVESTIMENTI),562.0,603.0,45.0,24.0,,,,,,55.0,0.0,27.0,73.0
TISCALI,249.0,247.0,36.0,23.0,,43.0,0.0,86.0,14.0,54.0,0.0,28.0,72.0
TOD S,1700.0,3115.0,33.0,57.0,92.0,40.0,21.0,64.0,15.0,60.0,0.0,13.0,87.0
TOSCANA AEROPORTI,428.0,445.0,33.0,31.0,93.0,44.0,3.0,75.0,22.0,56.0,0.0,20.0,80.0
TPER,2263.0,539.0,33.0,20.0,100.0,45.0,10.0,56.0,34.0,53.0,0.0,33.0,67.0
